salary,rank,cost,LSAT,GPA,libvol,faculty,age,clsize,north,south,east,west,studfac,top10,r11_25,r26_40,r41_60
31400,128,8340,155,3.15,216,45,12,210,1,0,0,0,4.666667,0,0,0,0
33098,104,6980,160,3.50,256,44,113,190,0,1,0,0,4.318182,0,0,0,0
32870,34,16370,155,3.25,424,78,134,270,0,0,1,0,3.461539,0,0,1,0
35000,49,17566,157,3.20,329,136,89,277,0,0,1,0,2.036765,0,0,0,1
33606,95,8350,162,3.38,332,56,70,150,0,0,0,1,2.678571,0,0,0,0
31700,98,8350,161,3.40,311,40,29,156,0,0,0,1,3.900000,0,0,0,0
30410,124,6020,155,3.16,220,40,61,151,0,1,0,0,3.775000,0,0,0,0
30150,157,5986,152,3.12,230,45,60,149,0,1,0,0,3.311111,0,0,0,0
31300,145,4785,155,3.12,230,101,70,322,0,0,1,0,3.188119,0,0,0,0
33200,91,7680,160,3.66,157,44,128,70,0,1,0,0,1.590909,0,0,0,0
34900,50,17720,165,3.55,320,78,56,269,0,0,1,0,3.448718,0,0,0,1
55413,23,16160,163,3.42,470,128,115,381,0,0,1,0,2.976563,0,1,0,0
33750,78,6300,162,3.60,330,48,.,153,0,0,0,1,3.187500,0,0,0,0
65000,5,11387,167,3.70,600,80,.,269,0,0,0,1,3.362500,1,0,0,0
.,27,12058,164,3.45,371,38,20,160,0,0,0,1,4.210526,0,0,1,0
62000,19,12478,163,3.55,542,114,107,419,0,0,0,1,3.675439,0,1,0,0
63000,13,12202,165,3.57,470,96,.,350,0,0,0,1,3.645833,0,1,0,0
31300,115,15700,156,3.20,208,80,.,375,0,0,0,1,4.687500,0,0,0,0
28500,171,11750,156,3.20,147,35,9,119,0,0,1,0,3.400000,0,0,0,0
30100,131,12927,154,3.25,215,31,.,262,1,0,0,0,8.451612,0,0,0,0
33650,72,16545,160,3.30,352,72,.,255,0,0,1,0,3.541667,0,0,0,0
40325,55,16680,158,3.30,305,.,93,220,1,0,0,0,.,0,0,0,1
70000,4,19392,168,3.75,555,40,.,178,1,0,0,0,4.450000,1,0,0,0
32800,90,11268,162,3.37,339,51,152,134,1,0,0,0,2.627451,0,0,0,0
.,133,10808,.,.,290,72,26,300,1,0,0,0,4.166667,0,0,0,0
35000,65,12537,164,3.31,280,62,.,167,0,0,0,1,2.693548,0,0,0,0
78325,7,20518,168,3.60,735,101,.,345,0,0,1,0,3.415842,1,0,0,0
.,84,16036,160,3.29,383,95,.,133,0,0,1,0,1.400000,0,0,0,0
67500,10,19200,163,3.55,400,56,.,191,0,0,1,0,3.410714,1,0,0,0
.,112,12376,154,3.20,198,51,107,188,0,0,0,1,3.686275,0,0,0,0
29800,137,13850,156,3.10,210,58,38,235,0,1,0,0,4.051724,0,0,0,0
28900,141,13384,155,3.20,208,27,.,185,1,0,0,0,6.851852,0,0,0,0
42300,47,15221,158,3.20,275,83,.,341,0,0,0,1,4.108434,0,0,0,1
32900,82,14115,158,3.27,312,109,.,373,1,0,0,0,3.422018,0,0,0,0
29200,144,.,155,3.00,200,60,94,146,1,0,0,0,2.433333,0,0,0,0
34500,76,12500,155,3.30,190,28,73,.,1,0,0,0,.,0,0,0,0
.,94,12200,156,3.40,325,61,151,177,0,0,1,0,2.901639,0,0,0,0
32300,88,13780,155,3.23,240,65,120,234,0,0,0,1,3.600000,0,0,0,0
60172,9,19016,169,3.70,450,82,.,96,0,0,1,0,1.170732,1,0,0,0
32093,89,10353,.,.,192,58,74,200,0,0,1,0,3.448276,0,0,0,0
46103,43,17170,163,3.40,260,78,149,236,0,1,0,0,3.025641,0,0,0,1
.,59,12570,162,3.53,530,68,76,200,0,1,0,0,2.941176,0,0,0,1
33900,81,11400,158,3.30,346,58,24,204,0,1,0,0,3.517241,0,0,0,0
64880,22,17900,163,3.30,410,187,144,547,0,0,1,0,2.925134,0,1,0,0
29336,142,12100,154,3.00,186,51,12,134,0,0,1,0,2.627451,0,0,0,0
.,127,16212,160,3.27,260,50,6,251,0,0,1,0,5.020000,0,0,0,0
61000,31,17650,163,3.51,403,196,120,475,0,0,1,0,2.423469,0,0,1,0
62705,18,18995,166,3.52,728,245,61,643,0,0,1,0,2.624490,0,1,0,0
45889,46,7221,163,3.40,456,52,126,241,0,1,0,0,4.634615,0,0,0,1
.,175,7500,159,3.12,221,41,3,195,0,1,0,0,4.756098,0,0,0,0
34130,79,14554,158,3.14,200,109,84,237,0,0,0,1,2.174312,0,0,0,0
34400,74,13175,154,3.16,197,43,73,194,0,0,0,1,4.511628,0,0,0,0
67815,1,18364,168,3.75,1745,113,173,553,0,0,1,0,4.893806,1,0,0,0
30580,139,7820,160,3.42,231,36,12,76,0,0,0,1,2.111111,0,0,0,0
51082,28,16740,158,3.25,395,67,.,284,0,0,1,0,4.238806,0,0,1,0
39000,48,7300,159,3.30,400,113,.,310,0,1,0,0,2.743363,0,0,0,1
29500,116,9625,152,2.85,240,42,118,161,0,0,1,0,3.833333,0,0,0,0
27000,132,6810,152,3.25,146,22,76,96,0,0,0,1,4.363636,0,0,0,0
40000,38,12622,161,3.40,593,65,95,205,1,0,0,0,3.153846,0,0,1,0
50000,30,12382,160,3.49,510,54,133,209,1,0,0,0,3.870370,0,0,1,0
31000,109,11588,159,3.30,410,63,.,264,1,0,0,0,4.190476,0,0,0,0
26000,172,7225,140,3.15,161,38,.,176,0,1,0,0,4.631579,0,0,0,0
63000,17,10190,159,3.49,727,54,120,233,0,0,0,1,4.314815,0,1,0,0
30000,113,13200,158,3.20,280,188,86,260,1,0,0,0,1.382979,0,0,0,0
36000,62,6996,159,3.43,325,39,94,302,0,0,0,1,7.743590,0,0,0,0
33000,92,9738,160,3.30,329,48,77,135,0,1,0,0,2.812500,0,0,0,0
29750,123,13900,161,3.20,325,100,.,246,0,0,0,1,2.460000,0,0,0,0
34750,83,4247,156,3.35,540,47,78,284,0,1,0,0,6.042553,0,0,0,0
33900,93,9639,157,3.20,236,39,139,142,0,1,0,0,3.641026,0,0,0,0
35000,73,13950,160,3.24,285,154,.,246,1,0,0,0,1.597403,0,0,0,0
39000,36,16604,161,3.35,341,96,65,.,0,0,0,1,.,0,0,1,0
29640,155,14663,152,3.10,230,61,71,225,0,1,0,0,3.688524,0,0,0,0
28420,150,.,157,3.30,280,23,.,95,0,0,1,0,4.130435,0,0,0,0
39500,40,12600,157,3.20,220,51,93,169,1,0,0,0,3.313725,0,0,1,0
38000,57,13245,160,3.35,325,103,.,261,0,0,1,0,2.533981,0,0,0,1
42000,37,15114,157,3.24,285,88,61,437,0,0,0,1,4.965909,0,0,1,0
30150,140,7504,154,3.20,246,41,23,166,0,1,0,0,4.048780,0,0,0,0
30000,105,13800,157,3.10,252,49,112,155,0,1,0,0,3.163265,0,0,0,0
39900,107,17310,155,3.20,392,138,59,482,0,1,0,0,3.492754,0,0,0,0
65000,2,19575,168,3.67,750,97,126,381,1,0,0,0,3.927835,1,0,0,0
49862,20,12949,163,3.56,800,128,.,270,1,0,0,0,2.109375,0,1,0,0
40591,54,6268,153,3.30,260,32,131,170,0,1,0,0,5.312500,0,0,0,1
34750,85,10500,153,3.00,220,35,.,151,0,1,0,0,4.314286,0,0,0,0
36900,96,12133,154,3.28,245,57,90,159,0,0,0,1,2.789474,0,0,0,0
29750,122,9292,155,3.20,124,27,74,77,1,0,0,0,2.851852,0,0,0,0
34000,97,8700,156,3.40,304,56,97,162,0,0,0,1,2.892857,0,0,0,0
29500,114,11150,152,3.07,242,103,77,402,0,0,1,0,3.902913,0,0,0,0
29500,125,8274,158,3.20,350,48,.,109,0,1,0,0,2.270833,0,0,0,0
34700,86,16670,154,3.00,377,150,94,447,0,0,1,0,2.980000,0,0,0,0
56200,11,19740,.,.,888,105,150,430,0,0,1,0,4.095238,0,1,0,0
28800,163,6755,152,3.22,250,.,86,.,1,0,0,0,.,0,0,0,0
28900,110,16860,159,3.23,165,55,.,209,0,0,1,0,3.800000,0,0,0,0
30000,160,6512,157,3.00,200,35,.,118,1,0,0,0,3.371428,0,0,0,0
28000,167,.,151,3.31,234,47,92,172,0,1,0,0,3.659575,0,0,0,0
67000,14,18170,162,3.60,557,111,94,203,1,0,0,0,1.828829,0,1,0,0
53177,35,16400,161,3.45,340,60,116,175,1,0,0,0,2.916667,0,0,1,0
29699,136,16960,156,3.00,225,41,100,139,1,0,0,0,3.390244,0,0,0,0
41300,33,12200,161,3.50,590,57,94,225,1,0,0,0,3.947368,0,0,1,0
34800,80,9198,154,3.28,262,40,76,213,0,1,0,0,5.325000,0,0,0,0
27000,134,10850,151,3.03,216,48,.,237,0,1,0,0,4.937500,0,0,0,0
39000,53,12680,160,3.50,291,40,101,149,0,0,0,1,3.725000,0,0,0,1
26000,162,16310,159,3.30,280,78,.,232,0,0,1,0,2.974359,0,0,0,0
65000,8,19767,165,3.70,540,93,133,238,0,0,1,0,2.559140,1,0,0,0
24900,165,2623,146,3.38,211,56,72,149,0,1,0,0,2.660714,0,0,0,0
28000,129,13800,159,3.30,301,65,.,305,0,0,0,1,4.692307,0,0,0,0
30135,148,14040,161,3.23,216,87,.,163,0,1,0,0,1.873563,0,0,0,0
37600,64,10638,157,3.22,450,37,.,222,0,0,1,0,6.000000,0,0,0,0
39800,60,10653,161,3.39,393,35,.,242,0,0,1,0,6.914286,0,0,0,1
36000,70,15500,158,3.20,409,63,.,305,0,0,1,0,4.841270,0,0,0,0
35000,68,13520,156,3.30,400,59,.,259,0,1,0,0,4.389831,0,0,0,0
29700,151,.,154,3.00,268,69,58,269,0,1,0,0,3.898551,0,0,0,0
41000,52,16480,160,3.25,320,114,31,337,0,0,0,1,2.956140,0,0,0,1
39000,56,15800,159,3.17,245,91,73,241,0,0,0,1,2.648352,0,0,0,1
38750,61,15540,159,3.32,210,53,73,286,0,0,0,1,5.396226,0,0,0,0
34700,87,15870,155,3.16,316,148,34,454,0,0,1,0,3.067568,0,0,0,0
30000,118,10546,157,3.20,326,69,118,240,0,0,1,0,3.478261,0,0,0,0
29650,153,6910,156,3.24,156,18,84,77,0,0,0,1,4.277778,0,0,0,0
29500,168,12600,155,3.00,290,89,62,464,0,1,0,0,5.213483,0,0,0,0
52000,26,17430,164,3.50,330,48,78,200,0,0,0,1,4.166667,0,0,1,0
30050,106,9186,156,3.30,302,33,.,127,1,0,0,0,3.848485,0,0,0,0
39000,42,17372,159,3.18,440,41,62,256,0,1,0,0,6.243902,0,0,0,1
34900,75,16240,157,3.15,340,78,74,410,0,0,0,1,5.256410,0,0,0,0
63000,6,18186,167,3.78,414,52,92,180,0,0,0,1,3.461539,1,0,0,0
30000,146,16585,.,.,316,83,85,217,0,1,0,0,2.614458,0,0,0,0
29000,108,14340,158,3.30,300,130,79,520,0,0,1,0,4.000000,0,0,0,0
41000,51,17348,155,3.20,319,75,90,295,0,0,1,0,3.933333,0,0,0,1
41150,45,13300,157,3.30,439,190,90,396,0,0,1,0,2.084211,0,0,0,1
29499,117,7716,.,.,345,.,95,169,0,1,0,0,.,0,0,0,0
59500,12,8640,163,3.50,850,.,78,523,0,1,0,0,.,0,1,0,0
27000,170,.,145,2.73,300,45,38,230,0,1,0,0,5.111111,0,0,0,0
35500,101,4388,157,3.10,260,58,79,232,0,1,0,0,4.000000,0,0,0,0
29799,121,.,149,.,305,51,13,285,1,0,0,0,5.588235,0,0,0,0
29600,154,10280,157,3.10,260,58,79,232,1,0,0,0,4.000000,0,0,0,0
25000,174,14470,152,2.80,310,65,.,286,0,0,1,0,4.400000,0,0,0,0
36000,100,8715,155,3.00,260,56,.,216,0,1,0,0,3.857143,0,0,0,0
49000,29,8529,161,3.55,264,55,.,124,0,0,0,1,2.254545,0,0,1,0
35000,69,13710,155,3.30,215,42,196,175,1,0,0,0,4.166667,0,0,0,0
57000,16,17750,164,3.62,329,75,112,187,0,1,0,0,2.493333,0,1,0,0
29669,152,15114,159,3.20,175,53,.,163,0,0,1,0,3.075472,0,0,0,0
37000,63,15620,160,3.41,420,74,32,228,0,0,1,0,3.081081,0,0,0,0
64000,15,15678,164,3.60,700,107,160,380,0,0,1,0,3.551402,0,1,0,0
29700,111,14200,162,3.31,250,67,91,165,0,0,1,0,2.462687,0,0,0,0
35000,102,7000,154,3.27,251,59,82,148,0,0,0,1,2.508475,0,0,0,0
49000,25,10000,163,3.63,450,69,86,148,0,0,0,1,2.144928,0,1,0,0
51490,16,13600,163,3.47,297,48,136,125,0,0,1,0,2.604167,0,1,0,0
41500,41,17750,160,3.20,476,86,118,210,0,0,0,1,2.441860,0,0,0,1
35000,67,6700,158,3.35,415,66,58,234,1,0,0,0,3.545455,0,0,0,0
27900,135,11775,153,3.08,301,59,.,251,0,0,1,0,4.254237,0,0,0,0
29630,156,15960,155,3.00,230,40,10,247,0,0,0,1,6.175000,0,0,0,0
29750,138,14200,154,3.10,481,206,.,679,0,0,1,0,3.296117,0,0,0,0
36000,66,12800,157,3.20,244,39,102,182,0,0,1,0,4.666667,0,0,0,0
49321,17,13530,162,3.34,300,50,206,178,0,0,1,0,3.560000,0,1,0,0
49900,21,11334,161,3.40,.,47,.,285,1,0,0,0,6.063830,0,1,0,0
31500,143,7396,157,3.40,174,17,65,79,0,0,0,1,4.647059,0,0,0,0
69000,3,19780,171,3.82,850,100,140,101,0,0,1,0,1.010000,1,0,0,0
29800,120,12870,.,.,200,35,.,327,1,0,0,0,9.342857,0,0,0,0
